Nombre,Apellido,Edad,Institución,Teléfono,Cédula,Estado,Correo,Fecha_Registro
Rosa,rodríguez,25,UNIVERSIDAD TÉCNICA DEL NORTE,0929315742,1111063299,El Oro,rosa96@gmail.com,22/07/2021 00:00:00
MARÍA,pérez,21,UNIVERSIDAD TÉCNICA DEL NORTE,09154 67 355,1970474201,Guayas,maría92@edu.ec,03/10/2023 00:00:00
ROSA,ramírez,22,XYZ Academy,+593-9739-83-211,1081356081,guayas,rosa78@yahoo.com,21/02/2023 00:00:00
Ana,Ramírez,25,UNIVERSIDAD CENTRAL,+593-9449-56-311,1513332496,loja,ana46@hotmail.com,12/05/2024 00:00:00
GABRIELA,flores,25,UNIVERSIDAD TÉCNICA DEL NORTE,0985342923,1232882006,Pichincha,gabriela27@gmail.com,09/12/2020 00:00:00
Valeria,mendoza,20,PONTIFICIA UNIVERSIDAD CATÓLICA,+593-9335-46-898,1904004501,Guayas,valeria54@outlook.com,29/08/2022 00:00:00
MATEO,flores,20,PONTIFICIA UNIVERSIDAD CATÓLICA,09811 54 741,1442870041,azuay,mateo27@edu.ec,15/12/2022 00:00:00
Ana,Flores,25,UNIVERSIDAD CENTRAL,09305-25-663,1031086634,tungurahua,ana42@gmail.com,05/05/2021 00:00:00
JAVIER,pérez,19,Pontificia Universidad Católica,09384-69-234,1425918632,pichincha,javier80@yahoo.com,07/08/2024 00:00:00
FERNANDA,garcía,20,UNIVERSIDAD DE CUENCA,0940736493,1177656519,manabí,fernanda77@gmail.com,15/09/2021 00:00:00
MARÍA,rodríguez,20,XYZ ACADEMY,0916995410,1620447667,Manabí,maría87@hotmail.com,03/12/2023 00:00:00
Rosa,Sánchez,22,Universidad Central,09662-40-796,1475795233,azuay,rosa10@gmail.com,26/06/2020 00:00:00
ROSA,Castro,20,UNIVERSIDAD CENTRAL,0969833244,1552324479,pichincha,rosa45@gmail.com,08/10/2020 00:00:00
Gabriela,castro,24,PONTIFICIA UNIVERSIDAD CATÓLICA,0927091865,1194231052,manabí,gabriela79@outlook.com,21/01/2023 00:00:00
GABRIELA,sánchez,22,UNIVERSIDAD CENTRAL,09431-32-724,1385529427,manabí,gabriela40@yahoo.com,26/10/2022 00:00:00
GABRIELA,ramírez,25,XYZ ACADEMY,+593-9217-84-294,1402314176,el oro,gabriela84@gmail.com,03/05/2024 00:00:00
PABLO,Castro,24,ESCUELA POLITÉCNICA NACIONAL,0918775949,1610733882,manabí,pablo80@yahoo.com,25/03/2022 00:00:00
CAMILA,Vera,24,PONTIFICIA UNIVERSIDAD CATÓLICA,0995828195,1831796591,Azuay,camila99@gmail.com,01/07/2020 00:00:00
MATEO,pérez,24,ESCUELA POLITÉCNICA NACIONAL,09343 50 801,1399952222,Azuay,mateo12@gmail.com,08/07/2021 00:00:00
PEDRO,Pérez,22,XYZ Academy,09830 16 718,1114549594,Tungurahua,pedro8@gmail.com,08/05/2024 00:00:00
Juana,Paredes,24,Universidad Central,0123456789,12343212,loja,junatita.par@gmail.com,21/08/2025
Kevin,Perez,23,Escuela Politecnica Nacional,0998470410,1724291362,Pichincha,perezkevinsan2002@outlook.com,30/08/2025 10:30:57
