Nombre,Apellido,Edad,Institución,Teléfono,Cédula,Estado,Correo,Fecha_Registro
Rosa,Rodríguez,25,Universidad Tecnica Del Norte,0929315742,1111063299,El Oro,rosa96@gmail.com,22/07/2021 00:00:00
María,Pérez,21,Universidad Tecnica Del Norte,0915467355,1970474201,Guayas,maría92@edu.ec,03/10/2023 00:00:00
Rosa,Ramírez,22,Xyz Academy,0973983211,1081356081,Guayas,rosa78@yahoo.com,21/02/2023 00:00:00
Ana,Ramírez,25,Universidad Central,0944956311,1513332496,Loja,ana46@hotmail.com,12/05/2024 00:00:00
Gabriela,Flores,25,Universidad Tecnica Del Norte,0985342923,1232882006,Pichincha,gabriela27@gmail.com,09/12/2020 00:00:00
Valeria,Mendoza,20,Pontificia Universidad Catolica,0933546898,1904004501,Guayas,valeria54@outlook.com,29/08/2022 00:00:00
Mateo,Flores,20,Pontificia Universidad Catolica,0981154741,1442870041,Azuay,mateo27@edu.ec,15/12/2022 00:00:00
Ana,Flores,25,Universidad Central,0930525663,1031086634,Tungurahua,ana42@gmail.com,05/05/2021 00:00:00
Javier,Pérez,19,Pontificia Universidad Catolica,0938469234,1425918632,Pichincha,javier80@yahoo.com,07/08/2024 00:00:00
Fernanda,García,20,Universidad De Cuenca,0940736493,1177656519,Manabí,fernanda77@gmail.com,15/09/2021 00:00:00
María,Rodríguez,20,Xyz Academy,0916995410,1620447667,Manabí,maría87@hotmail.com,03/12/2023 00:00:00
Rosa,Sánchez,22,Universidad Central,0966240796,1475795233,Azuay,rosa10@gmail.com,26/06/2020 00:00:00
Rosa,Castro,20,Universidad Central,0969833244,1552324479,Pichincha,rosa45@gmail.com,08/10/2020 00:00:00
Gabriela,Castro,24,Pontificia Universidad Catolica,0927091865,1194231052,Manabí,gabriela79@outlook.com,21/01/2023 00:00:00
Gabriela,Sánchez,22,Universidad Central,0943132724,1385529427,Manabí,gabriela40@yahoo.com,26/10/2022 00:00:00
Gabriela,Ramírez,25,Xyz Academy,0921784294,1402314176,El Oro,gabriela84@gmail.com,03/05/2024 00:00:00
Pablo,Castro,24,Escuela Politecnica Nacional,0918775949,1610733882,Manabí,pablo80@yahoo.com,25/03/2022 00:00:00
Camila,Vera,24,Pontificia Universidad Catolica,0995828195,1831796591,Azuay,camila99@gmail.com,01/07/2020 00:00:00
Mateo,Pérez,24,Escuela Politecnica Nacional,0934350801,1399952222,Azuay,mateo12@gmail.com,08/07/2021 00:00:00
Pedro,Pérez,22,Xyz Academy,0983016718,1114549594,Tungurahua,pedro8@gmail.com,08/05/2024 00:00:00
Juana,Paredes,24,Universidad Central,0123456789,12343212,Loja,junatita.par@gmail.com,21/08/2025
Kevin,Perez,23,Escuela Politecnica Nacional,0998470410,1724291362,Pichincha,perezkevinsan2002@outlook.com,30/08/2025 10:30:57
